"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"66312","institutionally dishonest ","Negative",1
"66313","shrewsbury yesterday ","Neutral",1
"66314","five minute ","Neutral",1
"66315","dubai approx ","Neutral",1
"66316","wasnt aloud ","Neutral",1
"66317","quickly fraudster ","Negative",1
"66318","run security ","Neutral",1
"66319","dealing licensing ","Neutral",1
"66320","problem"", ""using ","Negative",1
"66321","told payed ","Neutral",1
"66322","water nicola ","Neutral",1
"66323","service frauding ","Neutral",1
"66324","week wanted ","Neutral",1
"66325","enoying company ","Neutral",1
"66326","conclude must ","Neutral",1
"66327","petition want ","Neutral",1
"66328","pointless o ","Negative",1
"66329","send charged ","Neutral",1
"66330","package suit ","Neutral",1
"66331","saturday tried ","Neutral",1
"66332","services various ","Neutral",1
"66333","notified text ","Neutral",1
"66334","care feedback ","Positive",1
"66335","sim unlock ","Neutral",1
"66336","probably g ","Neutral",1
"66337","chinese phone ","Neutral",1
"66338","code used ","Neutral",1
"66339","last three ","Neutral",1
"66340","incorrectly account ","Negative",1
"66341","technical limitations ","Negative",1
"66342","""good customer ","Positive",1
"66343","easily everyone ","Neutral",1
"66344","phone"", ""use ","Neutral",1
"66345","£ goodwill ","Positive",1
"66346","avoid"", 
""given ","Negative",1
"66347","taking"", 
""phone ","Neutral",1
"66348","middle next ","Neutral",1
"66349","daytop bottom ","Neutral",1
"66350","understand job ","Neutral",1
"66351","sent serial ","Neutral",1
"66352","february holiday ","Positive",1
"66353","unacceptable business ","Negative",1
"66354","rarely make ","Neutral",1
"66355","much wait ","Negative",1
"66356","clear modern ","Positive",1
"66357","one lady ","Neutral",1
"66358","days gone ","Neutral",1
"66359","uk cheating ","Negative",1
"66360","obviously sell ","Neutral",1
"66361","""spoke o ","Neutral",1
"66362","custom also ","Neutral",1
"66363","without accessing ","Neutral",1
"66364","courier door ","Neutral",1
"66365","o suddenly ","Neutral",1
"66366","services supposed ","Neutral",1
"66367","invoiced ive ","Neutral",1
"66368","told debt ","Negative",1
"66369","like eu ","Positive",1
"66370","correct decision ","Positive",1
"66371","accuse obstructing ","Negative",1
"66372","anyway finish ","Neutral",1
"66373","much arguing ","Neutral",1
"66374","top runnow ","Neutral",1
"66375","latestcontact o ","Neutral",1
"66376","sign never ","Neutral",1
"66377","discuss current ","Neutral",1
"66378","ceo better ","Positive",1
"66379","expected coverage ","Neutral",1
"66380","week saw ","Neutral",1
"66381","lincoln sent ","Neutral",1
"66382","provider poor ","Negative",1
"66383","network used ","Neutral",1
"66384","ago experience ","Neutral",1
"66385","risk customer ","Negative",1
"66386","time means ","Neutral",1
"66387","even took ","Neutral",1
"66388","connection mobile ","Neutral",1
"66389","documents exist ","Neutral",1
"66390","prospective customers ","Neutral",1
"66391","excuse problem ","Negative",1
"66392","questioned far ","Neutral",1
"66393","ever shame"", ","Negative",1
"66394","well looked ","Positive",1
"66395","calls without ","Neutral",1
"66396","option phone ","Positive",1
"66397","turning use ","Neutral",1
"66398","checked third ","Neutral",1
"66399","approach flexible ","Positive",1
"66400","hang let ","Negative",1
"66401","bury unreasonable ","Negative",1
"66402","problems"", 
""sold ","Negative",1
"66403","providing advice ","Positive",1
"66404","think"", 
""seem ","Neutral",1
"66405","contract dishonest ","Negative",1
"66406","chat didnt ","Neutral",1
"66407","wonder february ","Neutral",1
"66408","asked exactly ","Neutral",1
"66409","am phone ","Neutral",1
"66410","sorting mistake ","Negative",1
"66411","£ settle ","Neutral",1
"66412","never renew ","Neutral",1
"66413","company give ","Neutral",1
"66414","emails either ","Neutral",1
"66415","able everything ","Neutral",1
"66416","jumped £ ","Neutral",1
"66417","o place ","Neutral",1
"66418","think angry"", ","Negative",1
"66419","wasted customer ","Negative",1
"66420","tempted big ","Positive",1
"66421","pc code ","Neutral",1
"66422","holiday january ","Positive",1
"66423","sorry mistake ","Negative",1
"66424","earliest possible ","Neutral",1
"66425","management compleate ","Positive",1
"66426","properly hours ","Positive",1
"66427","else ever ","Neutral",1
"66428","pound full ","Neutral",1
"66429","extortionate bills ","Neutral",1
"66430","ball ache ","Negative",1
"66431","expensive ride ","Negative",1
"66432","made resolve ","Positive",1
"66433","bottom took ","Neutral",1
"66434","informed charge ","Neutral",1
"66435","email shown ","Neutral",1
"66436","rate service ","Neutral",1
"66437","week fault ","Negative",1
"66438","advisor polite ","Positive",1
"66439","keep technology ","Positive",1
"66440","fair deal ","Positive",1
"66441","seen colleagues ","Neutral",1
"66442","geezer waist ","Negative",1
"66443","telefonica confirm ","Neutral",1
"66444","bonus primary ","Positive",1
"66445","india said ","Neutral",1
"66446","voice recognition ","Neutral",1
"66447","issue area ","Neutral",1
"66448","iphone paying ","Neutral",1
"66449","charger removed ","Neutral",1
"66450","thing refuse ","Negative",1
"66451","even porting ","Neutral",1
"66452","venueending contract ","Neutral",1
"66453","pay fox ","Negative",1
"66454","allows calling ","Neutral",1
"66455","near getting ","Neutral",1
"66456","hit miss"", ","Negative",1
"66457","o plead ","Negative",1
"66458","order cancel ","Negative",1
"66459","take cheques ","Neutral",1
"66460","s warranty ","Positive",1
"66461","rolled old ","Neutral",1
"66462","online called ","Neutral",1
"66463","back nonetheless ","Neutral",1
"66464","rubbish happeni ","Negative",1
"66465","situation son ","Neutral",1
"66466","needs addressed ","Neutral",1
"66467","help beware ","Negative",1
"66468","agency letter ","Neutral",1
"66469","now jan ","Neutral",1
"66470","interested persuade ","Positive",1
"66471","got bangor ","Neutral",1
"66472","cancelled orderwent ","Negative",1
"66473","terrible"", ""probably ","Negative",1
"66474","services complained ","Negative",1
"66475","services bundle ","Neutral",1
"66476","long vodafone ","Neutral",1
"66477","phone ben ","Neutral",1
"66478","us within ","Neutral",1
"66479","points online ","Neutral",1
"66480","added overall ","Neutral",1
"66481","problem definitely ","Negative",1
"66482","payment go ","Negative",1
"66483","laughing stock ","Positive",1
"66484","anywhere now ","Neutral",1
"66485","fair never ","Positive",1
"66486","rip"", 
""years ","Negative",1
"66487","obviously loads ","Neutral",1
"66488","hours calls ","Neutral",1
"66489","put blocked ","Negative",1
"66490","bill etc ","Neutral",1
"66491","service"", ""without ","Neutral",1
"66492","concern frustration ","Negative",1
"66493","token upgrade ","Neutral",1
"66494","contract breakage ","Neutral",1
"66495","
""system unable ","Negative",1
"66496","unforeseen error ","Negative",1
"66497","terrible bunch ","Negative",1
"66498","idiotsavoid avoid ","Negative",1
"66499","despite protestations ","Neutral",1
"66500","turkey holiday ","Positive",1
"66501","tolld ive ","Neutral",1
"66502","order smartphone ","Neutral",1
"66503","techical issue ","Neutral",1
"66504","faulty replacement ","Negative",1
"66505","high comparison ","Neutral",1
"66506","line staff ","Neutral",1
"66507","uploads kbps ","Neutral",1
"66508","bloody idea ","Negative",1
"66509","deal wanted ","Positive",1
"66510","companies thrilled ","Positive",1
"66511","stickler customer ","Neutral",1
"66512","o personal ","Neutral",1
"66513","filton colleges ","Neutral",1
"66514","last anyone ","Neutral",1
"66515","find unbeliveable ","Neutral",1
"66516","service takes ","Neutral",1
"66517","attracts released ","Positive",1
"66518","option upon ","Positive",1
"66519","ccj company ","Neutral",1
"66520","gut usless ","Neutral",1
"66521","employee efficiently ","Positive",1
"66522","anything still ","Neutral",1
"66523","cp network ","Neutral",1
"66524","vijayan curious ","Positive",1
"66525","paid contacting ","Neutral",1
"66526","discount sufficient ","Positive",1
"66527","accept exploit ","Positive",1
"66528","waiting obviously ","Neutral",1
"66529","amazing even ","Positive",1
"66530","caused problem ","Negative",1
"66531","additional payments ","Positive",1
"66532","team never ","Neutral",1
"66533","refunded dumb ","Positive",1
"66534","parts house ","Neutral",1
"66535","vs snapchat ","Neutral",1
"66536","ran contracts ","Neutral",1
"66537","conteact supplier ","Neutral",1
"66538","g fed ","Neutral",1
"66539","frequency peoples ","Neutral",1
"66540","data chargesotherwise ","Neutral",1
"66541","intense phone ","Negative",1
"66542","call poor ","Negative",1
"66543","wake phone ","Neutral",1
"66544","second rudest ","Neutral",1
"66545","pass immediately ","Neutral",1
"66546","tomorrow closed ","Neutral",1
"66547","networks much ","Neutral",1
"66548","painful key ","Negative",1
"66549","incompetence false ","Negative",1
"66550","track progress ","Positive",1
"66551","aggressive causing ","Negative",1
"66552","disgusting"", 
""contacted ","Negative",1
"66553","looking available ","Positive",1
"66554","phone notify ","Neutral",1
"66555","department days ","Neutral",1
"66556","place first ","Neutral",1
"66557","upgrade july ","Neutral",1
"66558","overall good ","Positive",1
"66559","care really ","Positive",1
"66560","area try ","Neutral",1
"66561","
""phone repairs ","Neutral",1
"66562","site ordered ","Neutral",1
"66563","signal etc"", ","Neutral",1
"66564","paygo put ","Neutral",1
"66565","explaining situation ","Neutral",1
"66566","made many ","Neutral",1
"66567","without human ","Neutral",1
"66568","smaller data ","Neutral",1
"66569","mate sitting ","Positive",1
"66570","decide charge ","Neutral",1
"66571","stands vodafone ","Neutral",1
"66572","london say ","Neutral",1
"66573","""reviews read ","Neutral",1
"66574","opposite o ","Neutral",1
"66575","sep ive ","Neutral",1
"66576","servicegood service"", ","Neutral",1
"66577","help customersno ","Neutral",1
"66578","still inside ","Neutral",1
"66579","start nice ","Positive",1
"66580","bank stupid ","Negative",1
"66581","o wrongseveral ","Neutral",1
"66582","hire one ","Positive",1
"66583","time away ","Neutral",1
"66584","mins disconected ","Neutral",1
"66585","cure prob ","Positive",1
"66586","o stonewalling ","Neutral",1
"66587","august pure ","Positive",1
"66588","saw connected ","Neutral",1
"66589","struggle talk ","Negative",1
"66590","result call ","Neutral",1
"66591","vow never ","Positive",1
"66592","even contact ","Positive",1
"66593","rude saying ","Negative",1
"66594","whilst transferred ","Neutral",1
"66595","mbps told ","Neutral",1
"66596","something response ","Neutral",1
"66597","moral one ","Positive",1
"66598","elsewhere cheaper ","Neutral",1
"66599","fast data ","Neutral",1
"66600","one try ","Neutral",1
"66601","contracts end ","Neutral",1
"66602","back chose ","Neutral",1
"66603","like member ","Positive",1
"66604","responsiveness support ","Positive",1
"66605","oh guess ","Neutral",1
"66606","making change ","Neutral",1
"66607","phone m ","Neutral",1
"66608","pay via ","Negative",1
"66609","company continually ","Neutral",1
"66610","resulting incredibly ","Positive",1
"66611","report sim ","Neutral",1
"66612","appalling purchased ","Negative",1
"66613","""nothing say"", ","Neutral",1
"66614","road branch ","Neutral",1
"66615","stick many ","Neutral",1
"66616","quickly everyone ","Neutral",1
"66617","experience"", 
""vodafone ","Neutral",1
"66618","people rubbish ","Negative",1
"66619","unbelievable contract ","Negative",1
"66620","mean less ","Neutral",1
"66621","check company ","Neutral",1
"66622","
""march brought ","Neutral",1
"66623","notes requested ","Neutral",1
"66624","bad value ","Negative",1
"66625","anything different ","Neutral",1
"66626","plan higher ","Neutral",1
"66627","breaking mile ","Negative",1
"66628","one followingsend ","Neutral",1
"66629","mins complete ","Neutral",1
"66630","case oftel ","Neutral",1
"66631","use website"", ","Neutral",1
"66632","work anything ","Positive",1
"66633","first annoyance ","Negative",1
"66634","feeling slightly ","Positive",1
"66635","hang upafter ","Negative",1
"66636","undertaken refund ","Positive",1
"66637","phones texts ","Neutral",1
"66638","problems fine ","Negative",1
"66639","information unable ","Negative",1
"66640","free easy ","Positive",1
"66641","toward new ","Positive",1
"66642","charges continued ","Neutral",1
"66643","now ive ","Neutral",1
"66644","nilly whilst ","Neutral",1
"66645","helpful letting ","Positive",1
"66646","customers way ","Neutral",1
"66647","happened instead ","Neutral",1
"66648","miscalculated hang ","Negative",1
"66649","calls sales ","Neutral",1
"66650","fee quick ","Negative",1
"66651","problems keypad ","Negative",1
"66652","money patience ","Positive",1
